lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
,,859,2.0,0.14391127228736877,0.9577999711036682,0.8487210273742676,0.6876257658004761,0.7407464385032654,4.933923244476318,453.0,6.21933650970459,11.297170639038086,0,,,,,,,,,,,,,,,
,,869,2.0,0.052697014063596725,0.9776999950408936,0.8435554504394531,0.8984854221343994,0.8687438368797302,4.539750576019287,205.0,22.9720401763916,27.56448745727539,0,,,,,,,,,,,,,,,
,,879,2.0,0.06315936148166656,0.9732999801635742,0.8210089206695557,0.912883996963501,0.8603991270065308,4.5405683517456055,241.0,22.656137466430664,27.259864807128906,0,,,,,,,,,,,,,,,
,,889,2.0,0.07820156216621399,0.9671000242233276,0.7968484163284302,0.9254692792892456,0.8478569984436035,5.6149468421936035,236.0,11.762173652648926,17.455322265625,0,,,,,,,,,,,,,,,
,,899,2.0,0.03846452757716179,0.9868999719619751,0.8789132833480835,0.8175596594810486,0.8453823328018188,5.91469669342041,219.0,2.1037278175354004,8.056888580322266,0,,,,,,,,,,,,,,,
,,909,2.0,0.16690993309020996,0.9388999938964844,0.6929075717926025,0.7187697291374207,0.7048448324203491,5.634873867034912,385.0,92.83830261230469,98.64008331298828,0,,,,,,,,,,,,,,,
,,919,2.0,0.05679226666688919,0.9765999913215637,0.6579138040542603,0.6355881690979004,0.6458357572555542,5.78494930267334,94.0,3.0120725631713867,8.853814125061035,0,,,,,,,,,,,,,,,
,,929,2.0,0.06889192759990692,0.9715999960899353,0.6976759433746338,0.8217252492904663,0.7435688972473145,3.032848596572876,143.0,17.72834587097168,20.83008575439453,0,,,,,,,,,,,,,,,
,,939,2.0,0.04668651893734932,0.9797000288963318,0.8066349029541016,0.8518275618553162,0.8275502920150757,3.8415029048919678,154.0,4.732537269592285,8.620726585388184,0,,,,,,,,,,,,,,,
,,949,2.0,0.02741668000817299,0.9890000224113464,0.7096033692359924,0.9059240818023682,0.7754412889480591,3.1560134887695312,62.0,7.686093807220459,10.869524002075195,0,,,,,,,,,,,,,,,
,,959,2.0,0.06526987999677658,0.9746999740600586,0.6050769090652466,0.7333332300186157,0.6431432366371155,5.462392330169678,96.0,10.661616325378418,16.18927764892578,0,,,,,,,,,,,,,,,
,,969,2.0,0.04658585786819458,0.9804999828338623,0.686631977558136,0.7471867799758911,0.7124307155609131,3.5049664974212646,130.0,15.569526672363281,19.121078491210938,0,,,,,,,,,,,,,,,
